"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12"
"Yuma","AZ","Yuma","Yuma County",124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324990,295000,287500,288700,293500,290000,281200,289500,295000,304700,299900,309500,312450,293658.5,3e+05,3e+05,324250,287417,317400,336950,324776,324776,354450,339900,309000,309000,299000,317500,291250,316200,314900,339900,339500,358280,339000,305975,299900,299900,323925,326950,335229,328500
"Columbia","MO","Columbia","Boone County",125,372875,377450,349500,371875,374000,360000,368750,377450,375000,369450,365000,375000,359000,354450,359375,359825,337000,329000,333700,315000,322500,319999,329000,331250,325000,331250,359950,369900,369900,372400,367200,364900,342000,364900,373450,373450,374900,375000,370000,376500,379900,373500,375000,367000,364900,379900,359950,364750,369900,392400,379900,399000,390000,394900,396450,395000,394900,379000,394900,377400,384950,396250,399900,379900,374999.5,359900,377000,425000,397450,392500,395000,399900,397450,387250,387250,385000,389900,390000,399000,389000,383750,386750,384250,389900,399000,409400,412500,403500,424900,424900,415000,419900,422400,419900,419000,416900,418400,412000,417000,424400,419900,414900,399900,399900,414900,401700,399900,424950
"Frisco","TX","Dallas-Fort Worth-Arlington","Collin County",126,414900,399900,409900,412900,409900,399900,392000,378450,379950,389845,389994.5,392000,399990,396950,394945,419950,434900,429900,429900,439900,448950,440000,448445,445950,446900,445450,465600,443195.5,450000,459900,449995,450000,454900,456445,459450,479000,475900,485900,485990,480000,499500,5e+05,5e+05,5e+05,508450,496900,494900,500990,499950,509000,513990,521135,512900,491993,499900,527990,527990,550000,540900,565400,565945,568572,593945,580000,567450,557424.5,556450,569400,574500,580495,578556,586900,586381,590495,591445,585000,550000,544280,574000,581450,604990,589900,599000,6e+05,6e+05,614900,649900,650000,640000,629000,625000,617900,624000,624900,613900,641451,628244,614990,603990,6e+05,599000,585000,585000,589900,589945,589990,580990,589500
"Renton","WA","Seattle-Tacoma-Bellevue","King County",127,447950,448975,439950,439450,415662.5,409950,375000,379990,386944,386997.5,399975,389000,350841,337000,339000,339450,327400,319900,327425,374975,419725,403975,390000,412482,410014,433922.5,422250,429950,415000,410982,405950,429950,439950,439975,454950,452450,469975,482450,492475,499950,492475,5e+05,499950,497950,519950,559700,527919,532950,529950,525950,509475,514900,499975,533975,567222.5,569950,562500,529475,549995,529000,515000,529950,523475,534944.5,535000,558972.5,524947.5,539995,614995,609995,609995,644995,654997.5,619995,619995,604995,607495,614900,589941.5,579497.5,592475,599700,567500,585000,589000,599970,589495,625000,598990,599950,614206.5,610000,663000,611990,610990,600990,608990,617490,650000,670000,684950,703493.5,709995,744975,749950,749950,759950,761450
"Fullerton","CA","Los Angeles-Long Beach-Anaheim","Orange County",128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1149500,1088000,1040500,9e+05,9e+05,920000,909400,1025000,995000,997250,999000,1084950,1070000,999999,989950,999000,949500,949000,1025000,1e+06,1085000,939450,1080000,1178400,1315000,1247000,1125000,1034000,1067000,1085000,1089500,1099000,1183500,1188000,1168944,1199000,1125000,1050000,970000,961900,1047000,1144950
"McAllen","TX","McAllen-Edinburg-Mission","Hidalgo County",129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489500,455000,417500,417500,484450,460000,460000,464500,469900,469900,455000,460000,448000,397500,390000,395000,402000,389000,394500,415000,420000,450000,399500,448000,435000,450000,393750,449000,449000,449000,449500,430000,450000,449500,454500,449750,449000,447000,449000,449000,449700,425000,419900,419900,417500,397500,389000,397000,367450,362950,359900,360000
"Orange","CA","Los Angeles-Long Beach-Anaheim","Orange County",130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1175000,1099000,1174500,1124500,1040000,1049888,1069450,1090000,975000,959900,962894,975000,955000,952000,949000,952000,944750,950000,899000,907500,905000,975000,1022500,1074500,1162000,1192500,1299000,1149000,1274500,1224000,1185000,1099000,1219900,1159444,1250000,1294000,1250000,1183944,1269444
"Hampton","VA","Virginia Beach-Norfolk-Newport News","Hampton City",131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349900,323700,284000,279000,274000,279000,268450,279000,275000,279000,284950,285000,279900,285000,285000,267450,279900,285000,279900,280100,269999,262000,269999,269999,269949.5,272249.5,269900,267000,249500,250000,249000,246950,250000,279900,289900,298959,294950,295000,259900,258450,268000,299800,304900,299900,299900,299899,312900,304900,313900,299900,299900,293500,299950,297500,285950,265000,255000,272000,289950,294950,289950,299950,319900,322400,298900,297450,258450,289900,319000,301450,306949.5,299900,289499.5,289900,284700,3e+05,299450,299000
"West Valley City","UT","Salt Lake City","Salt Lake County",132,180000,179900,179900,184950,178787.5,179900,183000,177675,174838.5,174900,174900,170900,169900,169950,169900,165000,169950,167000,167900,169900,167250,166450,159900,157900,155700,154500,160000,159900,160000,169900,175000,174949.5,175000,183500,170000,171500,170000,170000,170000,189900,189900,187000,189900,210000,219450,199700,197450,199000,199000,202450,202450,199900,214900,215750,215000,214900,215450,211950,213400,209000,219900,215950,229400,235000,244900,244900,229900,235000,235000,235000,245999.5,224900,222400,235000,235000,237900,249950,250000,259900,249900,249900,247400,249900,245777,239900,235000,249850,253400,265000,274900,275000,279950,269900,281900,289999,286950,274900,269900,289000,314950,309900,317450,312000,314900,314900,309000,299950,299950
"Olathe","KS","Kansas City","Johnson County",133,349500,350000,369750,380000,395000,385000,349975,349950,364950,344950,362250,357250,339975,359975,335000,350000,382500,364000,352450,337500,384950,384975,395750,379500,375000,375000,363525,370526.5,351350,350000,374950,394294.5,399950,399950,399000,398900,387322,382425,371200,385000,377450,379975,390000,396975,436450,436450,440000,475000,450000,462500,450750,4e+05,425000,395000,399950,399950,394950,375000,372450,362475,359000,364250,382475,389950,389950,383500,389950,389950,381725,379950,399175,395000,395500,394950,399000,415415,399950,404950,410000,409950,410000,418600,414900,420000,409950,410780,411732.5,411732.5,414925,414975,415950,424557.5,449325,434862.5,432475,431000,430450,430975,435950,435000,434862.5,439200,439900,432975,439950,436500,439950,449975
