"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12"
"North Miami","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190000,205000,202500,219450,235000,239950,227500,2e+05,205000,212450,224950,227000,224950,215300,215300,215000,207000,214000,214500,218000,240000,232500,235000,222000,219000,209435,202750,219000,223000,239900,240000,230000,238500,219500
"San Clemente","CA","Los Angeles-Long Beach-Anaheim","Orange County",460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675000,557450,575000,619000,639900,644500,625000,624000,599888,589500,607394,612394,589000,589000,670000,672000,619900,627450,644450,689900,629000,639000,629000,656950,669000,699000,699000,649900,669000,649900,639900,641450,641450,674000,686500,687000,681000,675000,684950,699900,637000,677000,697500,735000,730000,772000,779900,772000,722000,699900,699900,698900,699900,749500,729500
"Broomfield","CO","Denver-Aurora-Lakewood","Broomfield County",461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429900,447475,441995,435000,450000,459495,430997.5,439000,475620.5,437250,469145.5,399900,399900,415000,433495,445900,439000,439000,429500,429250,423500,415000,425000
"Haverhill","MA","Boston-Cambridge-Newton","Essex County",462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219900,229000,236000,219900,214900,209000,186900,185000,193950,195000,194900,194000,184000,182300,194900,215000,212450,215000,215000,219000,224900,224900,209900,219900,219900,229900,225400,219450,226450,219000,217000,219900,219900,224950,224900,225000,231150,229900,225000,234900,234900,239900,239900,234900,235000,235000,234900,239950,237700
"Coon Rapids","MN","Minneapolis-St. Paul-Bloomington","Anoka County",463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90200,105000,109000,102450,109900,119500,114500,114900,114900,118900,128900,117500,113700,114900,114950,115227.5,119900,129900,134999.5,129900,137450,135000,135400,147950,137850,133000,129950,125950,127450,128000,135000,144900,134900,137450,142250,139900,142000,144900,139900,138700,142450,138700,149800,149950,150000,141800,137000,139900,139900,142450,145000,147000,139900,139900,157450,155000,159900,154900,154900,159000,159900,167250,162000,160000,164900,149900,164900,162500,162900,175000,174900,176250,175000,175000,175000,177000
"Deland","FL","Deltona-Daytona Beach-Ormond Beach","Volusia County",464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129900,123450,125000,139000,135000,148500,136450,138900,149900,139900,160000,160000,145778.5,150000,157450,154950,179900,187327.5,188888,174900,159900,160000,164950,160450
"South Jordan","UT","Salt Lake City","Salt Lake County",465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267528,265128.5,284950,292400,281400,289949.5,299194,297572,296450,292450,298900,302000
"Hamden","CT","New Haven-Milford","New Haven County",466,199900,199000,199950,202450,199000,192500,189500,189450,189900,184900,182400,182400,175000,172400,175000,174900,175000,169900,174900,174900,174900,170000,165000,169900,169400,164400,159900,163700,159900,159900,159900,155450,159900,159900,158500,149900,147450,149900,159900,156450,149900,154900,152000,154000,159900,149900,149900,151750,148000,149450,154900,160000,157950,151000,149450,149900,138900,139900,134900,132500,139450,139000,135000,139900,149900,145450,146400,145900,139800,138900,145000,137500,130000,130000,135450,145678,149900,154900,152450,149000,144950,139500,139900,136250,135000,135000,139900,153500,159900,157000,157950,159900,159900,154900,159000,164900,163000,169900,169900,162950,164900,169949.5,159450,155000,169900,158850,159900,154900
"Huntersville","NC","Charlotte-Concord-Gastonia","Mecklenburg County",467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205000,195000,195000,195000,195000,195000,199900,205000,205000,205000,205000,205000,205000,195000,215000,215000,210000,197499.5,205000,2e+05,207200,197500,199900,209500
"La Habra","CA","Los Angeles-Long Beach-Anaheim","Orange County",468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343000,355000,379000,379000,344500,374900,376950,364500,344000,335000,352500,339500,375000,374950,379900,389000,399900,385000,4e+05,4e+05,369000,352500,388000,392500,420000,405000,410000,409999.5,409999,425000,444450,458000,451500,453000
