"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12"
"33063","Margate","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County",17,36990,35000,30462,35000,39000,38450,35000,33250,34250,35000,31250,29900,29900,29000,26010,25250,25250,24949.5,27000,29000,29000,28900,28900,28900,25950,26000,25000,25000,29000,28777,29000,27000,29500,29900,29900,31000,31000,34900,34450,29900,29999,35250,37250,37250,35000,35750,34950,33600,35000,40000,43500,40000,42900,43900,41950,39900,42900,42900,42900,43900,42900,43700,43450,42000,39900,39950,42000,42000,40000,42900,42900,45000,42900,42450,40000,39950,44750,45000,45000,47900,48500,51200,55950,58700,55000,54999.5,54900,54900,55000,55300,54900,55000,54800,54950,55300,55000,57000,59900,57500,59900,59700,61000,58000,60950,62000,62000,65000,64500
"20001","Washington","DC","Washington-Arlington-Alexandria","District of Columbia",18,,,369000,384900,371450,375000,375000,385000,395000,385450,387777,385450,375000,374995,374995,364750,359900,379700,387800,399000,395000,392500,385888,379499.5,389500,387394,379000,369900,399949.5,389900,357000,367500,379000,385750,374555,369999,387447.5,387447.5,384900,389700,399000,386500,407450,399450,399000,399900,375000,387500,404950,4e+05,404900,384250,399450,399900,422450,439000,449800,450000,450000,450000,449500,449000,447000,451950,469500,449900,439000,465000,470000,477000,466950,452000,479450,469000,469000,482450,497700,487000,450000,459700,454800,494000,472400,449950,450000,489900,474000,489000,475000,475000,479000,479000,489500,475000,482000,489000,455000,499700,499900,499000,487000,499450,487500,494250,499999,493950,497800,497800
"33027","Miramar","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County",19,59900,62000,65000,62450,59999,57500,55450,55000,49000,46700,47250,41900,46150,47500,47500,47000,47250,52000,54999,54999,55000,56999,55000,50000,53500,49900,49500,49000,49700,53000,57500,57500,57750,54900,58850,55000,58450,62450,59900,63750,61500,59000,62000,59900,67875,62225,72500,69949.5,68900,68900,69500,69900,66500,68900,69900,77500,79000,77000,76450,78450,77449.5,79800,81000,82000,83900,81500,84900,83000,78000,76500,78900,79900,82100,82500,83000,82900,82900,82500,80000,82700,79999.5,85000,83750,85000,85000,86000,89450,89000,88350,88350,89500,89000,89900,89900,89450,88250,89000,93000,95000,93000,98000,98500,109999,105000,105000,111000,106000,110500
"33064","Pompano Beach","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84700,87650,88500,89875,86000,89850,93000,91500,93000,93000,91464.5,89450
"33313","Lauderhill","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37475,35000,35000,34900,36900,39900,39900,39900,39999,39900,38000,35000,35000,40000,40500,43000,40500,41000,43350,43350,44900,44900,42900,44450,47000,48000,46450,45000,47000,47000,47000,48249.5,49000,49350,47500,48760,48000,48000,50250,49900,49900,49900,49700,49900,49900,52000,52000,49999.5,52000,50500,50000,54250,54900,55000,56000,54999,55000,55000,56000,57900,58900,57450,57250,56500,56000,56000,58000
"33319","Lauderhill","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County",22,46250,43000,40500,40000,38000,35000,35000,36750,38000,37500,37250,34900,35000,37000,37000,33950,32000,34900,35000,34900,32500,34000,34500,32000,36749.5,39900,40000,40000,39900,39000,37450,40500,42150,39999.5,44900,44950,44950,43450,40000,42000,44900,41750,44500,45900,45200,45700,45500,45900,47000,49999,49499.5,52450,51245,49694,49939,49000,47000,47000,47100,49900,49950,51500,53750,58325,53900,54900,54950,54950,54900,54900,56450,57900,56950,54900,54900,57000,59900,60000,60000,59900,59900,59000,62700,60700,63700,61200,59900,63000,59000,59999,59999.5,59000,59999.5,60000,60450,60000,60000,60000,63500,60000,60950,62950,64950,65000,65000,65500,66950,68000
"77057","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129500,125000,129900,127450,121500,129950,128500,125000,125000,125000,130950,135000,132000,128900,128000,128000,125000,119950,110000,119500,120000,122500,130000,130000,125000,130000,130000,140000,135000,132500,135000,135000,135000,128400,130000
"90802","Long Beach","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309990,339000,344000,350000,340000,350000,335000,339000,342500,349000,345000,334450,350000,349450,349000,335000,342500,335000,329950,340000,339947.5,345000,347450,365000,359000,317500,325000,322499.5
"89103","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115000,110750,109800,109800,115000,119499.5,120000,121499.5,124900,124000,135000,125000,125000,120000
"08759","Manchester","NJ","New York-Newark-Jersey City","Ocean County",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30450,31400,34000,34894,34950,35200,37200,36900,36400,34900,34900,34900,34900,33900,33000,33000,32950,34000,33000,33000,33000,33000,37250,37500,35450,36000,36000,34900,34950,35000,35000,34900,34000,34700
"07047","North Bergen","NJ","New York-Newark-Jersey City","Hudson County",27,172500,170000,170000,167450,169900,178000,178000,189900,170000,169000,169000,172500,165000,164950,164900,148100,152000,148550,154000,152000,156500,158000,159000,165000,155000,142500,139000,135000,129900,130000,129000,129900,130000,129450,135000,145000,137900,139000,130000,129500,135000,139000,139000,154500,155000,157000,154500,147000,149900,146500,142500,145000,139000,150000,156700,150000,149000,149900,157450,159450,154500,149000,149000,159500,169450,169900,159949.5,159250,159000,159000,159500,159499.5,159499.5,167000,159000,162000,162000,159999,162499.5,159450,159900,159999.5,165000,159000,157000,159900,165000,169700,169700,169999,185117,179000,185000,176950,169950,185000,185000,185000,185000,182500,185000,183500,185000,189900,202500,210000,204999,199999
"33141","Miami Beach","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209000,189000,185000,179900,184500,181000,179500,185000,185000,198388.5,205000,210200,224000,239000,239950,229000,229000,244975,242487.5,245000,244975,246000,243000,239000,238750,229900,210000,224950,235000,244950,239000,246500,244450,250000,259000,255000,250000,247750,239000,239900,240000,240000,240000,240000,230000,240000,241500,239900,245000
"33021","Hollywood","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County",29,54900,55000,54900,54000,50000,48000,48900,48000,47650,48500,49000,47000,47800,47900,47800,47800,45000,44900,47650,45000,49900,49900,49250,47650,49950,51000,47500,49900,49900,50000,49997.5,49997.5,58000,55000,55000,58000,57250,56750,56325,50000,50000,54900,63950,64350,64950,64000,65000,65000,65000,67500,67500,69900,69900,74900,79900,79900,79900,79900,86450,84575,90750,89250,85000,87950,80000,79900,72000,73900,79900,80000,88750,89700,86500,85000,81000,84500,85000,85000,87000,89000,89700,89950,89950,89000,89000,81341,82200,89700,89900,89959,92000,98000,98000,98000,95000,94850,90000,89900,94900,95000,95000,98000,97996.5,94500,93000,98950,99000,99900
"96815","Honolulu","HI","Urban Honolulu","Honolulu County",30,318750,321500,319000,321500,318250,299000,285000,275000,299900,315000,308900,316450,315000,319500,319500,315000,325000,325000,324000,324000,329000,324500,324000,329000,329500,322000,325000,327000,338000,345000,340000,350000,349900,344000,350150,345900,349000,365000,358000,350000,374000,328000,384900,386500,385000,349000,371500,359000,365000,349000,368000,379000,380888,372000,368000,375000,365000,382500,388000,385000,389000,389000,399000,409000,398450,389000,398500,389000,391000,395000,389000,397000,404000,369900,399000,397900,382500,390000,4e+05,4e+05,415000,415000,418500,410000,399000,412500,415900,397000,399450,410000,410000,388500,388500,412000,414000,432000,440000,449900,432500,425000,424000,409000,417000,415000,410000,408000,415000,410000
"22201","Arlington","VA","Washington-Arlington-Alexandria","Arlington County",31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399900,399950,399450,387450,389900,409000,414900,399900,399900,399450,399000,382000,384900,389900,395000,395000,395000,415000,387000,419900,399999,375000
"33308","Fort Lauderdale","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County",32,158750,149600,149600,159900,159700,167000,172000,162000,159000,158950,158950,149000,149600,149300,159900,159600,158500,159000,154900,150000,152000,152000,159949.5,165000,159900,169000,175000,178950,149000,148500,149000,169900,155950,148495,149000,149900,159000,167500,179900,179000,189000,189900,199000,192000,199000,187950,179450,177450,183400,164750,175000,174000,174500,185000,182450,185000,185000,184950,179000,177000,179900,185950,160000,169500,195000,186000,179900,165000,179900,179900,175900,180450,182450,179900,179000,176950,179900,189900,188400,189800,195000,189900,192500,189900,185900,182000,180150,179999,179999,179949.5,179900,179600,177000,179900,185000,198000,192000,189500,189450,189450,194450,199900,199999,212000,211000,217000,213000,209500
"33178","Doral","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209000,209000,209000,219250,219000,217000,205000,215000,215000,205000,217000,219450,219940,220000,219980,217490,215000,215000,215000,214950,215000,215000,217500,230000,217500,220000,215000,215000,215000,220000,212500,220000,220000,220000,220000
"33020","Hollywood","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County",34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79945,85000,84950,90164.5,88000,79900,80000,88700,77000,79000,79900,79000,79900,89450,98000,98500,98000,96250,90000,85995,87500,83900,84900,87500,89900,89900,89999,89999.5,90950,96000,93250,91500,89943.5,94000,95400,98250,98000,99900,99900,99550,99200,99000,99000,99000,98000,99000,107500,102400,105000,99750,102820,105000,103700
"29910","Bluffton","SC","Hilton Head Island-Bluffton-Beaufort","Beaufort County",35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389000,392000,381200,381200,399900,399900,399900,421950,398000,427450,399000,429000,417000,424900,462400,461400,434900,429450,404450,394000,364950,374000,439900,415000,417250,415000,411000,399950,399250,399500,379900,394000,379900,394450,396500,386999.5,419000,434500
"33322","Sunrise","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County",36,,,,,,,25000,25000,25000,22000,20000,20000,20000,20000,20000,20000,20000,21900,21900,22777,22900,23900,22900,22900,22000,22900,20000,19999,19999,21900,20900,21000,21850,22500,24970,25000,25000,25000,25000,25000,25000,25000,24900,25000,26990,26449.5,27250,27500,30000,29700,29900,30950,31000,33999,33000,33000,33000,32538.5,31838.5,31900,34250,34250,35000,34000,34875,34325,32250,34900,33900,33900,35000,35000,35000,35000,35950,35500,35900,35000,35500,37900,39000,39250,38500,39000,42500,42500,40000,40000,44500,44500,44900,45000,45500,46000,49900,49360,49450,47450,49338.5,48125,48999,50950,49449.5,47000,48300,47900,52449.5,51999
"33062","Pompano Beach","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County",37,162000,150000,160500,160950,169000,159000,159000,150000,152450,149900,147500,142500,140000,145000,144949.5,144899,145000,143450,140000,143700,145000,150000,145000,149900,149900,149900,149900,156250,154500,162950,163000,158900,150000,150000,150000,149900,155000,159000,158950,159900,158900,159000,159900,162200,169000,169000,175000,175000,169000,164900,168500,168250,168250,164950,167500,164900,169000,164900,164900,163500,169750,179000,174450,175000,169874.5,158950,166900,162700,164900,174900,179900,179949.5,187450,186000,186000,177750,189900,185000,183000,186500,192000,196000,189700,189000,199450,193450,195000,189900,2e+05,220000,219899.5,215000,199999.5,199999,202499.5,199999,216000,222000,210000,205000,199899,199899,195000,199900,190000,209900,209450,210000
"75219","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",38,171950,160000,160000,159900,159950,159949.5,159999.5,151450,154000,149000,149900,139900,139000,140000,149450,149900,148500,148500,146500,159425,158995,149950,149000,149000,150000,149995,124999,129450,149900,149900,149950,155000,154450,137250,149900,149900,145000,143500,145000,149990,144447.5,141850,128500,129450,139900,137450,149950,139900,144000,165000,169000,168500,164500,164000,160000,172400,169900,174950,172000,172000,178750,178500,180000,175000,182500,188250,187700,194900,198500,191000,185000,187900,187900,179900,189000,199999,182449.5,187400,209950,214950,188700,210450,202000,214750,217500,216250,219000,223500,226000,219500,229500,225000,204450,209000,196350,203800,205000,199900,210000,219900,215000,220000,220000,224700,220000,224500,225000,225000
"11101","New York","NY","New York-Newark-Jersey City","Queens County",39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,732500,740000,740000,765000,775000,765000,775000,775000,780000,780000,785000,799500,799000,799500,8e+05,799500,807500,799500,8e+05,815000,822500,820000,820000,825000,819000,825000,822500,830000,830000,825000,802500,825000,835000,858995,867270,883740,867270,890000,899000
"80211","Denver","CO","Denver-Aurora-Lakewood","Denver County",40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341900,341900,335000,372450,382499.5,359000,370000,406450,417500,409900,403250,429000
"19103","Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429900,385000,401750,399500,385000,390000,360000,362450,357500,359700,365000,385000,380000,371950,364450,364900,375000,367000,364000,355000,348000,349900,339000,339000,332450,329700,326500,320000
