"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12"
"New York","NY","New York-Newark-Jersey City","Queens County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450000,475000,488000,499000,505000,515000,535000,549000,575000,625000,625000,605000,630410,649000,639000,638000,629000,630000,639500,639000,639250,675000,720000,735000,739000,735000,729000,715000,750000,749000,749000,760000
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355000,359950,377000,362450,362450,359000,349000,366750,359000,349000,349000,362500,374000,368500,354500,349995,359000,404500,415000,429000,448000,429000,415000,399900,409000,425000,448388.5,425000,429000,462500,465120,475000,473500,475000,479000,475000,491000,499000,505000,505000,515000,507450,512500,499998.5,499925,498000,499000,499000,549000,549000,539000,539000,539000,532500,516500,539000,539000,579000,555000,550000,550000,575000,540000,575000
"Chicago","IL","Chicago-Naperville-Elgin","Cook County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174835,189000,189450,199000,185000,199900,199900,198500,172000,169900,190000,184900,215500,209000,218250,224450,220000,220000,214900,225000,219950,219000,215000,2e+05,215000,225000,224950,225000,224900,229999.5,214950,210000,209900,209950,210000,225000,229900,247000,245000,245000,240000,239000,239000,239900,240000,237900,235000
"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139000,140500,145000,139900,131500,145000,146500,149900,159450,149975,149900,149900,150000,149000,162700,169450,169900,167500,170000,172650,168950,172000,172650,169825,169000,169900,168900,160000,161000,156500,150000,149990,149900,149900,149900,152000,149900,150000,155000,155000,153600,151250,154000,159000,155000,159000,150000
"San Antonio","TX","San Antonio-New Braunfels","Bexar County",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115000,105000,89949.5,87900,89900,95000,91900,99100,1e+05,99000,97444,102500,97888,93500,99900,93750,98250
"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",6,299999.5,304949.5,319000,309900,305000,3e+05,299900,294900,289900,279000,275000,275000,276000,275000,269900,255000,254000,249000,249000,249000,249900,259000,259200,259400,259900,252500,259900,259500,249000,250000,250000,259000,249900,249000,243000,244900,249900,249000,249900,259000,249750,239900,250000,254900,255010,263000,269900,269900,265000,267000,269950,273460,266250,269900,279450,280000,282000,279000,275000,279444,280000,279900,279950,279900,285000,285000,274900,275000,289000,289900,295000,292000,290000,299000,295000,295000,289900,289000,289900,283750,293950,289900,293450,293774,289999,291837,310000,3e+05,3e+05,3e+05,299900,299900,294000,289900,299000,299000,299950,3e+05,318000,319000,318750,305000,299900,299000,299000,299000,299900,299950
"Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145300,145000,131000,135000,136450,130000,141950,140000,147000,139900,140000,140000,149900,155500,150000,146499.5,149900
"San Diego","CA","San Diego-Carlsbad","San Diego County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256995,250000,260000,255000,250000,262000,270000,269000,287000,287000,269947.5,259000,260000,274500,265000,259000,259450,269450,269000,279499,288000,310000,304950,295000,310000,310000,315000,322000,329000,329000,329000,323700,324500,329000,334900,319900,324900,319250,324900,335000,335000,339000,329900,344000,344900,343950,341950,347400,344000,345000,349000,349900,364900,359800,349900,383400,369000,369450,359900,355000,349900,374450,379000
"Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",9,129000,125000,115000,113450,115900,117200,119000,110500,109000,1e+05,108860,105900,99900,99900,104850,105000,106920,109950,110250,107750,107500,104500,1e+05,98750,99900,99949.5,104900,109500,110000,107900,102900,99900,95950,99900,99000,99500,109000,99999,114500,120000,119900,119700,115000,119900,125000,118950,122500,117500,123500,124450,127000,135000,133950,127500,113995,115000,116500,117200,118000,121250,126900,124900,121950,136900,132500,135000,135000,136900,129900,128900,125000,139950,145000,145000,150000,164950,164950,167000,168000,170000,170000,172500,169900,171250,171250,170000,179900,205000,185900,175000,180000,185000,170000,179000,175000,175000,178500,185000,185000,184950,180000,169950,164900,164400,170000,195000,181200,179000
"Austin","TX","Austin-Round Rock","Travis County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299000,299999,295000,299990,339000,342445,334900,327000,309500,325000,330375,315000,324900,320450,323400,345000
"Jacksonville","FL","Jacksonville","Duval County",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84900,82500,82500,76950,79700,71349,76950,77599,85000,95000,95000,92000,91500,90500,85900,94000,98750,95000,98700,94900,95500,98000,99900,105000,103000,104900,104900,105000,106000,105000,112825,114200,117000,117000,110000,108750
"San Francisco","CA","San Francisco-Oakland-Hayward","San Francisco County",12,549500,566500,550000,549000,546500,536500,539000,527000,515000,529000,509000,499000,515000,499000,505000,499000,5e+05,513250,514500,512000,499000,499000,499000,499000,499000,499000,519000,527000,537000,522500,554000,554500,589000,575000,549000,575000,594000,599000,599000,599000,627000,659000,655000,649000,654500,649000,647000,627000,649000,654500,649500,695000,699000,699000,699000,698000,699000,729000,749500,734000,679000,719000,769500,770000,789000,792000,788000,778000,798000,799000,798000,799000,782000,799000,799000,829000,832000,799000,798000,799000,799000,799000,799000,799000,799000,799000,799999.5,833500,825000,827500,865000,875000,875000,845000,845000,849000,869000,849500,849000,854500,849000,849000,815000,799000,829000,829000,849000,849000
"Charlotte","NC","Charlotte-Concord-Gastonia","Mecklenburg County",13,160000,159900,151950,155000,151500,152950,150000,149900,149900,154440,149900,145000,146625,149950,148450,140000,139900,137500,134950,137158,138250,134900,124900,120000,124850,124900,124900,114900,115000,115000,119900,119900,119900,115000,119000,124900,125000,132250,135000,135000,138900,134450,134450,133700,129000,134900,149900,150000,150000,156500,157000,154900,155000,155000,154537.5,149500,158000,164950,164900,169900,152500,165000,170000,179900,177900,180000,197990,195900,184900,187037.5,180000,180000,189900,189900,195000,188788,187500,189000,181450,189000,189000,189900,199900,202450,217500,204900,225000,225000,207000,214900,199900,207450,215000,214450,210000,207450,204950,199900,199000,199900,204950,199900,2e+05,210000,206500,199900,199900,2e+05
"Fort Worth","TX","Dallas-Fort Worth-Arlington","Tarrant County",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263900,267649.5,269900,269900,269900,259900,254900,261450,259900,259450,269450,272450,277450,269450,247450,229900,229900,239000,227123,226317,229739,225000,234289,245500,264995,263400,259900,249900,259900,248000,269000,276995,258000,275000
"Orlando","FL","Orlando-Kissimmee-Sanford","Orange County",15,43450,40450,38000,36200,35800,34900,34900,39000,36450,36900,37900,34900,34900,34900,39900,39900,39900,39900,39900,39500,39900,40000,42250,42250,42875,44900,43000,45000,46950,47000,49900,50000,47900,53000,49250,54900,55000,53450,55000,57400,59900,59950,57875,56825,60000,65000,65000,62000,64900,64900,64000,62000,62000,64900,66000,64900,63900,64000,62000,62700,64900,64500,64900,66500,67500,70000,72800,75000,77800,78950,79000,79450,79000,81250,83000,84900,83000,84900,88000,87000,89000,84900,84450,83750,89900,89900,89900,89900,90000,93250,92000,89900,89900,84900,85000,88750,89900,105000,107500,105000,104900,105000,104400,107000,110000,110000,110000,114937.5
"Denver","CO","Denver-Aurora-Lakewood","Denver County",16,170000,170000,174700,169450,168450,165000,163250,160000,164900,164900,168900,160000,159900,159900,159900,159900,165000,160000,162000,159900,154000,150000,157000,156000,156000,158000,159900,159500,164900,159000,159900,155000,154450,155000,162450,168400,165000,170000,171250,173000,168900,165000,168000,169900,179000,194900,185000,2e+05,189900,215000,206500,199900,199450,2e+05,209000,214950,205000,210750,215000,249900,227000,227000,210000,230000,238450,245000,255950,259950,261250,282450,275000,259450,274900,279450,289000,292950,299900,289900,275000,276600,282000,285000,289000,286900,282250,294900,289450,290000,289950,295000,299000,285000,299900,314900,299986,324950,320000,325000,325000,325000,314900,310000,315000,312450,309000,309000,3e+05,315000
"Seattle","WA","Seattle-Tacoma-Bellevue","King County",17,280000,288422,284950,275000,275000,270000,269000,264990,259000,249970,249000,239999.5,234950,229950,232000,229000,226000,230000,227000,225000,221000,215000,210000,207500,199950,199000,215000,225000,236000,239000,239000,229970,224950,222000,221950,225000,225000,225000,229000,239450,240000,244990,248000,244500,245000,249500,249974.5,249950,256500,254500,250000,253000,259950,273700,271250,275000,275000,275000,295000,291475,289000,299000,319000,320000,323000,320000,324950,331900,349900,355000,365000,372950,384875,380000,355000,349950,359950,374000,385000,379000,375000,379000,350000,350000,369950,359250,340000,358000,375000,398000,4e+05,415000,418800,427475,439000,443475,450000,499900,472475,469500,465000,459950,450000,460000,464900,475000,475000,470000
