"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12"
"60657","Chicago","IL","Chicago-Naperville-Elgin","Cook County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1409450,1419000,1474500,1499000,1492000,1549000,1500000,1499450,1500000,1500000,1500000,1549000,1644000,1699900,1694450,1649000,1699000,1699000,1799000,1800000,1847500,1845000,1845000,1795000,1799000,1750000,1625000,1649500,1699995,1682500,1675000,1595000,1572500,1589875,1675000,1559625,1512245,1499495,1600000,1650000,1589500,1662500,1682000,1734500,1697000,1697000,1697000,1699700,1799450,1774500,1750000,1799000,1774900,1797000,1795000,1749950,1749950,1824000,1824000
"77494","Katy","TX","Houston-The Woodlands-Sugar Land","Harris County",2,420649.5,420833.5,448762.5,425000,434900,420900,416835,405600,389950,388665.5,387950,392420.5,386436.5,380102,399500,4e+05,399900,419900,435000,399000,389999,389900,389400,389949.5,389900,399900,420649.5,420900,423353.5,419362.5,417836,425000,423836,426366,422450,429900,426369.5,429319.5,428119.5,440000,459999,450000,450000,447900,450890,458900,467470,471943.5,497900,499940,525000,539904.5,539909,536450,540778,543490,547710,539900,540778,534990,527462,530871,535243,542007,528481,525000,510000,494774,504468,5e+05,480000,469900,501079,474900,480000,492000,489900,489000,482900,484064.5,489900,480000,473250,475000,484038.5,495000,499250,499900,5e+05,519900,514949.5,495000,479984,483995,479900,499900,509000,524900,519994.5,522350,529900,515000,499900,510000,499000,495000,499000,499000
"60614","Chicago","IL","Chicago-Naperville-Elgin","Cook County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2995000,2879000,2849000,2695000,2799500,2922500,2995000,3050000,2795000,3024999.5,3024999.5,2975000,2699000,2772500,2695000,2597000,2450000,2300000,2300000,2337500,2495000,2495000,2472500,2672000,2495000,2495000,2495000,2597500,2700000,2797499.5,2699000,2662500,2712500,2849500,2850000,2850000,2890000,2850000,2895000,2897500,2795000,2900000,2795000,2685000,2695000,2700000,2695000
"78660","Pflugerville","TX","Austin-Round Rock","Travis County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364990,359900,372727,370975,372000,366580,359400,359990,369950,374120,373250,372443,375318,368990,359490,339995,329990,339500,323950,324470,334990,337652.5
"60618","Chicago","IL","Chicago-Naperville-Elgin","Cook County",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1424999.5,1450000,1354450,1449000,1354500,1299000,1299000,1195000,1239450,1199450,1279000,1279000,1199000,1187495,1197499.5,1222499.5,1199999,1232500,1175000,1107500,1132450,1070000,1090000,1114950,1199900,1114950,1199900
"78130","New Braunfels","TX","San Antonio-New Braunfels","Comal County",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291000,279900,269900,271947.5,269900,282000,265990,262697.5,262695,263015,263515,266312.5,263199,259400,259900,260900,259945,262000,262900,264900,267999,268699.5,271900,274697.5,272050,273900
"78572","Mission","TX","McAllen-Edinburg-Mission","Hidalgo County",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397450,394000,390500,386000,415000,367950,395000,388000,390000,390000,419000,419000,424000,419000,419000,415000,407000,399000,399000,414498.5,434000,439500,479500,515000,434500,395500,422500,425000,399000,395500,412450,452000,439000,425000,399000,392950,350000,350000,350000,360000,378750,422450,399900,398700,397500,398700,410000,399450,399900,399900,397500,380000,379500,382500,354500,354500,359500,359000,359000,334949.5,372900,406450,399900,413000,389000
"94565","Pittsburg","CA","San Francisco-Oakland-Hayward","Contra Costa County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468000,459950,476200,479990,479990,480200,475000,550000,499000,486888,486888,499500,520000,517000,529000,548888,561900,563450,519999,519999,5e+05,499000,499000,499000,536944,538888,540000,550000,550000,573500,564000,546135,538888,569000,569000,564950,566975,559900,554450,569000,599000,589999.5,599000,641700,639000,635000,635000,640000,637500,650000,644000,640000,647000,654000,674500,679499.5,683675,690000,658000,635900,630000,639000,625000,633888
"79912","El Paso","TX","El Paso","El Paso County",9,459500,410000,4e+05,399000,399500,399000,399000,419950,424950,425500,441000,425000,425000,436937.5,430000,425500,439875,436100,421950,409750,424000,423900,422475,444450,444450,421500,429500,419950,404500,397031.5,415000,415000,399000,389450,379900,389450,397500,379900,396250,395000,397000,409900,399000,399900,399916.5,399000,399900,404500,410000,379500,385000,409700,412250,404550,404550,404700,423450,415000,422000,425000,425000,422475,425000,399900,399900,419000,422250,422250,420000,4e+05,4e+05,399925,397250,390000,399950,417450,449500,430350,440400,459250,431500,459500,465500,466000,479900,489900,439350,465000,449000,449500,435000,419900,437250,439500,449500,460000,479900,479900,479000,467000,459000,449250,454000,459000,429990,397950,376975,388475
"30349","Riverdale","GA","Atlanta-Sandy Springs-Roswell","Clayton County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233550,231990,234490,246585,244620,239400,267572,257900,269372,274900,280379.5,260425,287286,285990,270004,264900,264886,274708,274708,264728,265087.5,250995,237990,237495,233990,230000,224995,234900,239900,239900,239900,220000,238900,230000,230000,234900,239999.5,238449.5,245500,230417.5,233695,232090,232090,234950,240000,243000,244622.5,236900,247450,269900,259900,257950,255950,239490,242445,243990,243990,245450,250000,267900,267900,273360,267652,268982.5,269850.5,270726,280705
