"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",1,574950,559900,589925,599000,586500,587500,569900,591900,576500,580000,585000,550000,549000,550000,549900,545000,549000,549000,559900,555000,549900,539000,520000,499000,499900,509450,5e+05,539000,536999,565888,569000,562000,565000,569999.5,589000,579000,609500,589000,625000,674500,699000,729000,729000,699900,699900,699000,699900,7e+05,744900,728250,699000,737770,749000,749999,749000,739000,749999,750000,759950,745000,727500,779000,799000,799900,825000,823990,825000,839950,844175,850000,849000,842400,849950,849500,859000,879000,877500,875000,890000,869000,879000,879000,895000,899975,899000,926250,950000,989000,989000,949000,947000,925000,924900,939000,939500,919000,939000,947000,940000,954403,950000,959999.5,969000,960585,949999,949962.5,961900,950000
"Chicago","IL","Chicago-Naperville-Elgin","Cook County",2,369000,379950,389000,399000,385000,389900,368424.5,350000,319000,356450,349900,3e+05,299900,329900,335000,359900,369950,350000,349900,329900,325777,314450,299000,279900,277500,279500,311000,330000,319900,305000,299900,299000,289900,284450,294900,270000,274400,299900,319950,339250,359950,379000,379000,349000,349900,329900,305000,279900,280000,299000,339900,365000,389000,389000,379000,365000,350000,349700,349000,347000,332400,350000,379950,389900,389000,389900,379900,379025,375000,369000,372000,350000,356750,389995,429000,434450,443500,449450,429000,407450,399000,395500,385000,369686.5,380000,425000,439000,449900,454900,464950,459450,429900,435000,429900,435000,425000,449000,489900,527250,539000,539000,525000,5e+05,489900,479900,469900,470000,475000
"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",3,185000,189900,190000,190000,194500,191500,189500,189000,189900,186975,185000,179999,179900,179990,184500,186500,189900,190000,189500,185000,179900,179500,172495,174900,174900,175000,180000,184502,187825.5,189900,189900,187700,189500,185000,185000,185000,185500,198000,205000,209000,210000,215000,214000,209900,209241,219900,219500,219995,222767.5,230000,235950,248995,249900,249900,254450,256000,255067,255000,259900,270995,280000,299900,309000,319000,314469.5,299900,304677,304742.5,307475,318137,319900,319310,325000,325000,334900,330995,328495,325000,324250,321151,319000,308900,309900,309990,309990,308000,309900,315000,315000,309994.5,299900,299000,299900,299900,3e+05,307500,315000,319900,320000,325000,324900,324900,320000,310000,314900,315000,3e+05,301492.5
"San Antonio","TX","San Antonio-New Braunfels","Bexar County",4,196900,199900,199999,2e+05,205000,205000,205000,199900,203600,209845,210000,209000,205000,206690,208298.5,209000,209900,209000,209900,208050,199900,199900,199900,198995,199000,199900,200743.5,209900,215000,215000,211625,208990,211000,214934.5,214790,210952.5,215000,223865.5,226990,230000,233245,234500,232000,232990,237900,243900,242500,250073.5,253990,260000,259900,259900,260050,259002,257700,262745,260000,259640,258990,269000,272995,270000,258990,265990,265000,267990,267990,265990,268990,265000,264967.5,264967.5,269990,269900,274900,275000,274900,277945,278600,279000,279000,283990,279900,279000,279950,286990,289900,289900,291990,294900,290000,295000,295000,289900,287200,285990,285000,285990,284990,289000,291900,294900,292870,289450,289900,288990,288225,288000
"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",5,214450,214900,219900,219900,220000,219900,214900,209000,210000,2e+05,204000,199900,199000,195000,199900,199999.5,204900,199999.5,199900,199900,195000,194900,195000,186900,184000,194898.5,199000,199900,199925,189900,185000,179900,179900,179900,179900,179900,177000,179900,189900,197700,209000,214900,199900,198950,199000,197500,199000,199000,195500,190000,199900,209350,214900,209999.5,199900,199900,199900,195000,194900,199900,189999.5,195950,209500,210000,203999,2e+05,199900,196500,194900,199800,194900,185900,189900,189900,199900,214950,214900,224990,219900,219900,219900,224900,229900,219900,224950,224500,229000,245000,240000,248500,234900,225000,239900,239900,249000,249900,249900,240000,249450,240000,245450,264700,275000,274900,265000,270000,269900,275000
"Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259345.5,255538,266213,262990,282000,263568.5,262945,284900,269900,313400,302990,309995,298000,305490,336995,340990,359000,362990,355557.5,356470,349900,347990,340000,349500,352950,358995,361240,397490,369990,396851,403569.5,384695,400490,400490,401173,433457,439914,414950,401990,405945,412495,409900,409900,401490,410240,413500,417395,413745,398490,395042,397387,383990,358240,380000,384945,364999,379495,388990,387350,384990,384490,379945
"Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",7,199900,199900,199900,199500,197900,191950,184900,176950,177345.5,174900,172800,169000,169000,165000,164900,160000,160000,163200,160000,162000,160000,160000,163000,162000,160900,164000,168000,169900,174900,179900,175000,175400,179800,180000,180500,187900,190000,195000,195000,199000,2e+05,214000,225000,230000,236490,239900,239000,239900,239900,239000,249625,249900,250000,254900,260000,262894,265000,268000,269900,270000,273500,270000,278000,285000,294945,289000,289970,292500,294990,294990,295000,295000,297000,295000,299990,305000,309000,305000,3e+05,305000,309900,308990,306540,309000,310000,312950,316346.5,320000,327500,334500,336990,340000,349000,349900,350000,349945,354990,359900,354500,360000,363000,364999,369500,375000,375000,374990,375000,374900
"San Diego","CA","San Diego-Carlsbad","San Diego County",8,649000,644450,644900,635000,624888,602450,599900,599000,596250,599000,589000,575000,558800,549900,559888,559000,570000,579900,579000,559000,549000,540000,539950,548500,549949.5,534750,549000,569900,589850,599000,599000,598995,585000,599500,590850,579000,575876,599000,635876,671938,698000,704500,699000,715000,699000,699000,679000,679000,675000,699000,701000,735000,739000,749000,749000,749000,750000,749000,769450,749000,749900,749000,774900,810000,819000,785000,819000,825000,829900,819950,799894,825000,849000,868387.5,873900,849000,869000,861525,859500,849000,839000,817500,839000,844599,839000,839000,839950,859000,865000,875000,859350,849000,869000,875000,855000,859000,875000,898150,899995,909920,974950,979500,949000,925000,925000,929500,899000,899450
"Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",9,349000,349900,350000,350000,349900,349000,339000,325000,321000,319900,319900,309900,298900,298500,299900,319000,335000,325000,319900,315000,305000,309384.5,299000,299000,290900,309000,329544.5,334900,348000,349900,349900,339900,329900,335000,339000,339700,345499.5,339997.5,364000,375500,379900,387900,387900,388750,372500,363494,369995,367490,354000,357000,374950,4e+05,405000,399000,422000,425000,410000,416782.5,415000,399900,404000,432000,459900,477984.5,468000,459900,459000,449999.5,450000,455000,459450,450000,449500,459000,489000,499000,515000,510000,524250,499999,518750,519000,499900,495000,485000,489000,518000,539000,539000,529900,525000,509950,5e+05,512475,519450,525000,524900,537913,549000,564999.5,577000,570735,559950,550000,558999,550000,549000,534495
"San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County",10,580000,599000,599800,625000,645000,645000,640950,643500,615000,599950,598880,555500,549000,585000,595000,6e+05,6e+05,599900,606363.5,607475,599000,595000,582500,558944,558888,569000,582499.5,599900,620000,643200,649000,634500,642500,662500,649000,650000,667000,699000,699000,727000,749000,743900,749000,749000,746500,727000,739000,735000,699950,749990,779000,795000,799925,799974.5,799925,789925,799000,799925,799000,786500,789999,799000,840000,838000,873378,875000,875000,866944,875000,868400,859000,866500,899000,929000,949888,942000,930000,949999,949000,912500,899000,899000,899000,888500,882500,925000,950000,988444,998000,971944,988944,995000,985000,1014499.5,999888,1012499.5,1040000,1139000,1175000,1195000,1198000,1198000,1198000,1175000,1150000,1149000,1105425,1100000
